class,in_band,image_path,confidence,prob_true,predicted_class,correct
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_7.jpg,0.972148,0.972148,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1136.jpg,0.968281,0.968281,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1493.jpg,0.967341,0.967341,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1082.jpg,0.966931,0.966931,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1860.jpg,0.965347,0.965347,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1794.jpg,0.963972,0.963972,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1125.jpg,0.963635,0.963635,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1687.jpg,0.963634,0.963634,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1874.jpg,0.962139,0.962139,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1601.jpg,0.96183,0.96183,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1304.jpg,0.961742,0.961742,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1981.jpg,0.961293,0.961293,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1099.jpg,0.961286,0.961286,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_815.jpg,0.961272,0.961272,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1246.jpg,0.960023,0.960023,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1434.jpg,0.959771,0.959771,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1698.jpg,0.958677,0.958677,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1091.jpg,0.958483,0.958483,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_409.jpg,0.957605,0.957605,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1254.jpg,0.957141,0.957141,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1980.jpg,0.956754,0.956754,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1716.jpg,0.956742,0.956742,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_731.jpg,0.954728,0.954728,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1437.jpg,0.954611,0.954611,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_1792.jpg,0.954596,0.954596,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_2026.jpg,0.954577,0.954577,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_2080.jpg,0.954241,0.954241,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_71.jpg,0.954115,0.954115,brown_spot,True
brown_spot,True,data\RiceCrossYear\test\brown_spot\2026_brown_spot_brown spot_65.jpg,0.953435,0.953435,brown_spot,True
