seed,experiment,model,mode,val_acc,val_f1,test_acc,test_f1,gen_gap_acc,gen_gap_f1,future_retention_pct,best_epoch,epochs_run,train_minutes,summary_path
42,experiment_seed_42,resnet50,full,92.632,92.465,47.35,45.117,45.282,47.348,48.79,11,15,12.67,R:\Anti gravity\Rice Disease Project\results\experiment_seed_42\resnet50_full\summary.json
42,experiment_seed_42,resnet50,partial,81.427,81.342,39.95,39.252,41.477,42.089,48.26,13,15,6.17,R:\Anti gravity\Rice Disease Project\results\experiment_seed_42\resnet50_partial\summary.json
42,experiment_seed_42,densenet121,full,93.016,93.027,47.175,44.485,45.841,48.542,47.82,14,15,20.75,R:\Anti gravity\Rice Disease Project\results\experiment_seed_42\densenet121_full\summary.json
42,experiment_seed_42,densenet121,partial,74.674,73.967,36.575,35.992,38.099,37.975,48.66,11,15,8.9,R:\Anti gravity\Rice Disease Project\results\experiment_seed_42\densenet121_partial\summary.json
42,experiment_seed_42,efficientnet_b0,full,92.402,92.248,48.0,45.247,44.402,47.001,49.05,11,15,9.72,R:\Anti gravity\Rice Disease Project\results\experiment_seed_42\efficientnet_b0_full\summary.json
42,experiment_seed_42,efficientnet_b0,partial,78.972,78.808,37.375,34.441,41.597,44.367,43.7,13,15,5.9,R:\Anti gravity\Rice Disease Project\results\experiment_seed_42\efficientnet_b0_partial\summary.json
42,experiment_seed_42,dinov2,full,85.879,85.577,39.275,37.916,46.604,47.66,44.31,15,15,15.55,R:\Anti gravity\Rice Disease Project\results\experiment_seed_42\dinov2_full\summary.json
42,experiment_seed_42,dinov2,partial,82.655,82.312,50.875,47.86,31.78,34.452,58.14,6,11,4.79,R:\Anti gravity\Rice Disease Project\results\experiment_seed_42\dinov2_partial\summary.json
43,experiment_seed_43,resnet50,full,93.553,93.431,46.025,44.841,47.528,48.59,47.99,11,15,12.78,R:\Anti gravity\Rice Disease Project\results\experiment_seed_43\resnet50_full\summary.json
43,experiment_seed_43,resnet50,partial,80.967,80.723,40.9,39.738,40.067,40.984,49.23,13,15,5.86,R:\Anti gravity\Rice Disease Project\results\experiment_seed_43\resnet50_partial\summary.json
43,experiment_seed_43,densenet121,full,92.556,92.539,49.3,46.431,43.256,46.108,50.17,14,15,19.64,R:\Anti gravity\Rice Disease Project\results\experiment_seed_43\densenet121_full\summary.json
